Seq,AOU,English_Common_Name,French_Common_Name,Latin_Name,ORDER,Family,Genus,Species,Latin_Name_clean,Latin_Name_synonym,Latin_Name_synonym2,Type,AOU1,,,,
318,2090,unid. Clapper / King Rail,unid Râle élégant / Râle Gris,Rallus elegans /longirostris,Gruiformes,Rallidae,Rallus,elegans /longirostris,,,,species,,,,,
319,2120,Virginia Rail,Râle de Virginie,Rallus limicola,Gruiformes,Rallidae,Rallus,limicola,Rallus limicola,,,species,,,,,
323,2140,Sora,Marouette de Caroline,Porzana carolina,Gruiformes,Rallidae,Porzana,carolina,Porzana carolina,,,species,,,,,
327,21930,Purple Swamphen,Talève sultane,Porphyrio porphyrio,Gruiformes,Rallidae,Porphyrio,porphyrio,Porphyrio porphyrio,,,species,,,,,
328,2180,Purple Gallinule,Talève violacée,Porphyrio martinicus,Gruiformes,Rallidae,Porphyrio,martinicus,Porphyrio martinicus,Porphyrio martinica,,species,,,,,
329,2190,Common Gallinule,Gallinule d’Amérique,Gallinula galeata,Gruiformes,Rallidae,Gallinula,galeata,Gallinula galeata,Gallinula chloropus,,species,,,,,
332,2210,American Coot,Foulque d'Amérique,Fulica americana,Gruiformes,Rallidae,Fulica,americana,Fulica americana,,,species,,,,,
335,2070,Limpkin,Courlan brun,Aramus guarauna,Gruiformes,Aramidae,Aramus,guarauna,Aramus guarauna,,,species,,,,,
336,2060,Sandhill Crane,Grue du Canada,Grus canadensis,Gruiformes,Gruidae,Grus,canadensis,Grus canadensis,,,species,,,,,
338,2040,Whooping Crane,Grue blanche,Grus americana,Gruiformes,Gruidae,Grus,americana,Grus americana,,,species,,,,,
341,2260,Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,Charadriiformes,Recurvirostridae,Himantopus,mexicanus,Himantopus mexicanus,,,species,,,,,
342,2250,American Avocet,Avocette d'Amérique,Recurvirostra americana,Charadriiformes,Recurvirostridae,Recurvirostra,americana,Recurvirostra americana,,,species,,,,,
344,2860,American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,Charadriiformes,Haematopodidae,Haematopus,palliatus,Haematopus palliatus,,,species,,,,,
345,2870,Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,Charadriiformes,Haematopodidae,Haematopus,bachmani,Haematopus bachmani,,,species,,,,,
348,2700,Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,Charadriiformes,Charadriidae,Pluvialis,squatarola,Pluvialis squatarola,,,species,,,,,
350,2720,American Golden-Plover,Pluvier bronzé,Pluvialis dominica,Charadriiformes,Charadriidae,Pluvialis,dominica,Pluvialis dominica,,,species,,,,,
351,2721,Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,Charadriiformes,Charadriidae,Pluvialis,fulva,Pluvialis fulva,,,species,,,,,
355,2780,Snowy Plover,Pluvier neigeux,Charadrius nivosus,Charadriiformes,Charadriidae,Charadrius,nivosus,Charadrius nivosus,Charadrius alexandrinus,,species,,,,,
356,2800,Wilson's Plover,Pluvier de Wilson,Charadrius wilsonia,Charadriiformes,Charadriidae,Charadrius,wilsonia,Charadrius wilsonia,,,species,,,,,
357,2750,Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,Charadriiformes,Charadriidae,Charadrius,hiaticula,Charadrius hiaticula,,,species,,,,,
358,2740,Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,Charadriiformes,Charadriidae,Charadrius,semipalmatus,Charadrius semipalmatus,,,species,,,,,
359,2770,Piping Plover,Pluvier siffleur,Charadrius melodus,Charadriiformes,Charadriidae,Charadrius,melodus,Charadrius melodus,,,species,,,,,
361,2730,Killdeer,Pluvier kildir,Charadrius vociferus,Charadriiformes,Charadriidae,Charadrius,vociferus,Charadrius vociferus,,,species,,,,,
362,2810,Mountain Plover,Pluvier montagnard,Charadrius montanus,Charadriiformes,Charadriidae,Charadrius,montanus,Charadrius montanus,,,species,,,,,
366,2631,Common Sandpiper,Chevalier guignette,Actitis hypoleucos,Charadriiformes,Scolopacidae,Actitis,hypoleucos,Actitis hypoleucos,,,species,,,,,
367,2630,Spotted Sandpiper,Chevalier grivelé,Actitis macularius,Charadriiformes,Scolopacidae,Actitis,macularius,Actitis macularius,,,species,,,,,
369,2560,Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,Charadriiformes,Scolopacidae,Tringa,solitaria,Tringa solitaria,,,species,,,,,
371,2590,Wandering Tattler,Chevalier errant,Tringa incana,Charadriiformes,Scolopacidae,Tringa,incana,Tringa incana,Heteroscelus incanus,,species,,,,,
373,2540,Greater Yellowlegs,Grand Chevalier,Tringa melanoleuca,Charadriiformes,Scolopacidae,Tringa,melanoleuca,Tringa melanoleuca,,,species,,,,,
374,2530,Common Greenshank,Chevalier aboyeur,Tringa nebularia,Charadriiformes,Scolopacidae,Tringa,nebularia,Tringa nebularia,,,species,,,,,
375,2580,Willet,Chevalier semipalmé,Tringa semipalmata,Charadriiformes,Scolopacidae,Tringa,semipalmata,Tringa semipalmata,Catoptrophorus semipalmatus,,species,,,,,
376,2550,Lesser Yellowlegs,Petit Chevalier,Tringa flavipes,Charadriiformes,Scolopacidae,Tringa,flavipes,Tringa flavipes,,,species,,,,,
377,2555,unid. Greater Yellowlegs / Lesser Yellowlegs,unid Grand Chevalier / Petit Chevalier,Tringa melanoleuca / flavipes,Charadriiformes,Scolopacidae,Tringa,melanoleuca / flavipes,,,,species,,,,,
381,2610,Upland Sandpiper,Maubèche des champs,Bartramia longicauda,Charadriiformes,Scolopacidae,Bartramia,longicauda,Bartramia longicauda,,,species,,,,,
383,2650,Whimbrel,Courlis corlieu,Numenius phaeopus,Charadriiformes,Scolopacidae,Numenius,phaeopus,Numenius phaeopus,,,species,,,,,
384,2680,Bristle-thighed Curlew,Courlis d'Alaska,Numenius tahitiensis,Charadriiformes,Scolopacidae,Numenius,tahitiensis,Numenius tahitiensis,,,species,,,,,
388,2640,Long-billed Curlew,Courlis à long bec,Numenius americanus,Charadriiformes,Scolopacidae,Numenius,americanus,Numenius americanus,,,species,,,,,
390,2510,Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,Charadriiformes,Scolopacidae,Limosa,haemastica,Limosa haemastica,,,species,,,,,
391,2500,Bar-tailed Godwit,Barge rousse,Limosa lapponica,Charadriiformes,Scolopacidae,Limosa,lapponica,Limosa lapponica,,,species,,,,,
392,2490,Marbled Godwit,Barge marbrée,Limosa fedoa,Charadriiformes,Scolopacidae,Limosa,fedoa,Limosa fedoa,,,species,,,,,
393,2830,Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,Charadriiformes,Scolopacidae,Arenaria,interpres,Arenaria interpres,,,species,,,,,
394,2840,Black Turnstone,Tournepierre noir,Arenaria melanocephala,Charadriiformes,Scolopacidae,Arenaria,melanocephala,Arenaria melanocephala,,,species,,,,,
396,2340,Red Knot,Bécasseau maubèche,Calidris canutus,Charadriiformes,Scolopacidae,Calidris,canutus,Calidris canutus,,,species,,,,,
397,2820,Surfbird,Bécasseau du ressac,Calidris virgata,Charadriiformes,Scolopacidae,Calidris,virgata,Calidris virgata,Aphriza virgata,,species,,,,,
400,2380,Sharp-tailed Sandpiper,Bécasseau à queue pointue,Calidris acuminata,Charadriiformes,Scolopacidae,Calidris,acuminata,Calidris acuminata,,,species,,,,,
401,2330,Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,Charadriiformes,Scolopacidae,Calidris,himantopus,Calidris himantopus,,,species,,,,,
406,2422,Red-necked Stint,Bécasseau à col roux,Calidris ruficollis,Charadriiformes,Scolopacidae,Calidris,ruficollis,Calidris ruficollis,,,species,,,,,
407,2480,Sanderling,Bécasseau sanderling,Calidris alba,Charadriiformes,Scolopacidae,Calidris,alba,Calidris alba,,,species,,,,,
408,2430,Dunlin,Bécasseau variable,Calidris alpina,Charadriiformes,Scolopacidae,Calidris,alpina,Calidris alpina,,,species,,,,,
409,2356,Rock Sandpiper,Bécasseau des Aléoutiennes,Calidris ptilocnemis,Charadriiformes,Scolopacidae,Calidris,ptilocnemis,Calidris ptilocnemis,,,species,,,,,
410,2350,Purple Sandpiper,Bécasseau violet,Calidris maritima,Charadriiformes,Scolopacidae,Calidris,maritima,Calidris maritima,,,species,,,,,
411,2410,Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,Charadriiformes,Scolopacidae,Calidris,bairdii,Calidris bairdii,,,species,,,,,
412,2429,unid. small ''peep'' sandpiper,unid petit Bécasseau sp.,Calidris sp.,Charadriiformes,Scolopacidae,Calidris,sp.,,,,species,,,,,
414,2420,Least Sandpiper,Bécasseau minuscule,Calidris minutilla,Charadriiformes,Scolopacidae,Calidris,minutilla,Calidris minutilla,,,species,,,,,
415,2400,White-rumped Sandpiper,Bécasseau à croupion blanc,Calidris fuscicollis,Charadriiformes,Scolopacidae,Calidris,fuscicollis,Calidris fuscicollis,,,species,,,,,
416,2620,Buff-breasted Sandpiper,Bécasseau roussâtre,Calidris subruficollis,Charadriiformes,Scolopacidae,Calidris,subruficollis,Calidris subruficollis,Tryngites subruficollis,,species,,,,,
417,2390,Pectoral Sandpiper,Bécasseau à poitrine cendrée,Calidris melanotos,Charadriiformes,Scolopacidae,Calidris,melanotos,Calidris melanotos,,,species,,,,,
418,2460,Semipalmated Sandpiper,Bécasseau semipalmé,Calidris pusilla,Charadriiformes,Scolopacidae,Calidris,pusilla,Calidris pusilla,,,species,,,,,
419,2470,Western Sandpiper,Bécasseau d'Alaska,Calidris mauri,Charadriiformes,Scolopacidae,Calidris,mauri,Calidris mauri,,,species,,,,,
420,2310,Short-billed Dowitcher,Bécassin roux,Limnodromus griseus,Charadriiformes,Scolopacidae,Limnodromus,griseus,Limnodromus griseus,,,species,,,,,
421,2320,Long-billed Dowitcher,Bécassin à long bec,Limnodromus scolopaceus,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus,Limnodromus scolopaceus,,,species,,,,,
422,2327,unid. Short-billed / Long-billed Dowitcher,unid Bécassin roux / Bécassin à long bec,Limnodromus griseus / scolopaceus,Charadriiformes,Scolopacidae,Limnodromus,griseus / scolopaceus,,,,species,,,,,
424,2300,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,Charadriiformes,Scolopacidae,Gallinago,delicata,Gallinago delicata,Gallinago gallinago,,species,,,,,
429,2280,American Woodcock,Bécasse d'Amérique,Scolopax minor,Charadriiformes,Scolopacidae,Scolopax,minor,Scolopax minor,,,species,,,,,
430,2240,Wilson's Phalarope,Phalarope de Wilson,Phalaropus tricolor,Charadriiformes,Scolopacidae,Phalaropus,tricolor,Phalaropus tricolor,Steganopus tricolor,,species,,,,,
431,2230,Red-necked Phalarope,Phalarope à bec étroit,Phalaropus lobatus,Charadriiformes,Scolopacidae,Phalaropus,lobatus,Phalaropus lobatus,,,species,,,,,
436,360,Pomarine Jaeger,Labbe pomarin,Stercorarius pomarinus,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,Stercorarius pomarinus,,,species,,,,,
437,370,Parasitic Jaeger,Labbe parasite,Stercorarius parasiticus,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,Stercorarius parasiticus,,,species,,,,,
438,380,Long-tailed Jaeger,Labbe à longue queue,Stercorarius longicaudus,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,Stercorarius longicaudus,,,species,,,,,
440,300,Common Murre,Guillemot marmette,Uria aalge,Charadriiformes,Alcidae,Uria,aalge,Uria aalge,,,species,,,,,
441,310,Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,Charadriiformes,Alcidae,Uria,lomvia,Uria lomvia,,,species,,,,,
442,315,unid. Common Murre / Thick-billed Murre,unid Guillemot marmette / Guillemot de Brünnich,Uria aalge / lomvia,Charadriiformes,Laridae,Uria,aalge / lomvia,,,,species,,,,,
443,320,Razorbill,Petit Pingouin,Alca torda,Charadriiformes,Alcidae,Alca,torda,Alca torda,,,species,,,,,
444,270,Black Guillemot,Guillemot à miroir,Cepphus grylle,Charadriiformes,Alcidae,Cepphus,grylle,Cepphus grylle,,,species,,,,,
445,290,Pigeon Guillemot,Guillemot colombin,Cepphus columba,Charadriiformes,Alcidae,Cepphus,columba,Cepphus columba,,,species,,,,,
447,230,Marbled Murrelet,Guillemot marbré,Brachyramphus marmoratus,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Brachyramphus marmoratus,,,species,,,,,
448,240,Kittlitz's Murrelet,Guillemot de Kittlitz,Brachyramphus brevirostris,Charadriiformes,Alcidae,Brachyramphus,brevirostris,Brachyramphus brevirostris,,,species,,,,,
451,210,Ancient Murrelet,Guillemot à cou blanc,Synthliboramphus antiquus,Charadriiformes,Alcidae,Synthliboramphus,antiquus,Synthliboramphus antiquus,,,species,,,,,
452,160,Cassin's Auklet,Starique de Cassin,Ptychoramphus aleuticus,Charadriiformes,Alcidae,Ptychoramphus,aleuticus,Ptychoramphus aleuticus,,,species,,,,,
457,150,Rhinoceros Auklet,Macareux rhinocéros,Cerorhinca monocerata,Charadriiformes,Alcidae,Cerorhinca,monocerata,Cerorhinca monocerata,,,species,,,,,
459,140,Horned Puffin,Macareux cornu,Fratercula corniculata,Charadriiformes,Alcidae,Fratercula,corniculata,Fratercula corniculata,,,species,,,,,
460,120,Tufted Puffin,Macareux huppé,Fratercula cirrhata,Charadriiformes,Alcidae,Fratercula,cirrhata,Fratercula cirrhata,,,species,,,,,
462,400,Black-legged Kittiwake,Mouette tridactyle,Rissa tridactyla,Charadriiformes,Laridae,Rissa,tridactyla,Rissa tridactyla,,,species,,,,,
465,620,Sabine's Gull,Mouette de Sabine,Xema sabini,Charadriiformes,Laridae,Xema,sabini,Xema sabini,,,species,,,,,
466,600,Bonaparte's Gull,Mouette de Bonaparte,Chroicocephalus philadelphia,Charadriiformes,Laridae,Chroicocephalus,philadelphia,Chroicocephalus philadelphia,Larus philadelphia,,species,,,,,
468,551,Black-headed Gull,Mouette rieuse,Chroicocephalus ridibundus,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Chroicocephalus ridibundus,Larus ridibundus,,species,,,,,
470,610,Ross's Gull,Mouette rosée,Rhodostethia rosea,Charadriiformes,Laridae,Rhodostethia,rosea,Rhodostethia rosea,,,species,,,,,
472,580,Laughing Gull,Mouette atricille,Leucophaeus atricilla,Charadriiformes,Laridae,Leucophaeus,atricilla,Leucophaeus atricilla,Larus atricilla,,species,,,,,
473,590,Franklin's Gull,Mouette de Franklin,Leucophaeus pipixcan,Charadriiformes,Laridae,Leucophaeus,pipixcan,Leucophaeus pipixcan,Larus pipixcan,,species,,,,,
476,570,Heermann's Gull,Goéland de Heermann,Larus heermanni,Charadriiformes,Laridae,Larus,heermanni,Larus heermanni,,,species,,,,,
477,550,Mew Gull,Goéland cendré,Larus canus,Charadriiformes,Laridae,Larus,canus,Larus canus,,,species,,,,,
478,540,Ring-billed Gull,Goéland à bec cerclé,Larus delawarensis,Charadriiformes,Laridae,Larus,delawarensis,Larus delawarensis,,,species,,,,,
479,490,Western Gull,Goéland d'Audubon,Larus occidentalis,Charadriiformes,Laridae,Larus,occidentalis,Larus occidentalis,,,species,,,,,
481,530,California Gull,Goéland de Californie,Larus californicus,Charadriiformes,Laridae,Larus,californicus,Larus californicus,,,species,,,,,
482,510,Herring Gull,Goéland argenté,Larus argentatus,Charadriiformes,Laridae,Larus,argentatus,Larus argentatus,,,species,,,,,
484,431,Thayer's Gull,Goéland de Thayer,Larus thayeri,Charadriiformes,Laridae,Larus,thayeri,Larus thayeri,,,species,,,,,
485,430,Iceland Gull,Goéland arctique,Larus glaucoides,Charadriiformes,Laridae,Larus,glaucoides,Larus glaucoides,,,species,,,,,
486,500,Lesser Black-backed Gull,Goéland brun,Larus fuscus,Charadriiformes,Laridae,Larus,fuscus,Larus fuscus,,,species,,,,,
487,480,Slaty-backed Gull,Goéland à manteau ardoisé,Larus schistisagus,Charadriiformes,Laridae,Larus,schistisagus,Larus schistisagus,,,species,,,,,
488,440,Glaucous-winged Gull,Goéland à ailes grises,Larus glaucescens,Charadriiformes,Laridae,Larus,glaucescens,Larus glaucescens,,,species,,,,,
489,495,hybrid Western Gull x Glaucous-winged Gull,hybride Goéland à ailes grises x d'Audubon,Larus occidentalis x glaucescens,Charadriiformes,Laridae,Larus,occidentalis x glaucescens,,,,species,,,,,
490,420,Glaucous Gull,Goéland bourgmestre,Larus hyperboreus,Charadriiformes,Laridae,Larus,hyperboreus,Larus hyperboreus,,,species,,,,,
491,470,Great Black-backed Gull,Goéland marin,Larus marinus,Charadriiformes,Laridae,Larus,marinus,Larus marinus,,,species,,,,,
493,534,unid. Gull,unid Goéland sp.,Gull sp.,Charadriiformes,Laridae,Gull,sp.,,,,species,,,,,
499,730,Aleutian Tern,Sterne des Aléoutiennes,Onychoprion aleuticus,Charadriiformes,Laridae,Onychoprion,aleuticus,Onychoprion aleuticus,Sterna aleutica,,species,,,,,
500,740,Least Tern,Petite Sterne,Sternula antillarum,Charadriiformes,Laridae,Sternula,antillarum,Sternula antillarum,Sterna antillarum,,species,,,,,
502,630,Gull-billed Tern,Sterne hansel,Gelochelidon nilotica,Charadriiformes,Laridae,Gelochelidon,nilotica,Gelochelidon nilotica,Sterna nilotica,,species,,,,,
503,640,Caspian Tern,Sterne caspienne,Hydroprogne caspia,Charadriiformes,Laridae,Hydroprogne,caspia,Hydroprogne caspia,Sterna caspia,,species,,,,,
504,770,Black Tern,Guifette noire,Chlidonias niger,Charadriiformes,Laridae,Chlidonias,niger,Chlidonias niger,,,species,,,,,
507,720,Roseate Tern,Sterne de Dougall,Sterna dougallii,Charadriiformes,Laridae,Sterna,dougallii,Sterna dougallii,,,species,,,,,
508,700,Common Tern,Sterne pierregarin,Sterna hirundo,Charadriiformes,Laridae,Sterna,hirundo,Sterna hirundo,,,species,,,,,
509,710,Arctic Tern,Sterne arctique,Sterna paradisaea,Charadriiformes,Laridae,Sterna,paradisaea,Sterna paradisaea,,,species,,,,,
510,690,Forster's Tern,Sterne de Forster,Sterna forsteri,Charadriiformes,Laridae,Sterna,forsteri,Sterna forsteri,,,species,,,,,
511,650,Royal Tern,Sterne royale,Thalasseus maximus,Charadriiformes,Laridae,Thalasseus,maximus,Thalasseus maximus,Sterna maxima,,species,,,,,
512,670,Sandwich Tern,Sterne caugek,Thalasseus sandvicensis,Charadriiformes,Laridae,Thalasseus,sandvicensis,Thalasseus sandvicensis,Sterna sandvicensis,,species,,,,,
513,660,Elegant Tern,Sterne élégante,Thalasseus elegans,Charadriiformes,Laridae,Thalasseus,elegans,Thalasseus elegans,Sterna elegans,,species,,,,,
514,634,unid. Tern,unid Sterne sp.,Tern sp.,Charadriiformes,Laridae,Tern,sp.,,,,species,,,,,
515,800,Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,Charadriiformes,Laridae,Rynchops,niger,Rynchops niger,,,species,,,,,
516,3131,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,Columba,livia,Columba livia,,,species,,,,,
520,3140,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,Patagioenas,leucocephala,Patagioenas leucocephala,,,species,,,,,
521,3130,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,Patagioenas,flavirostris,Patagioenas flavirostris,,,species,,,,,
522,3120,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,Patagioenas,fasciata,Patagioenas fasciata,,,species,,,,,
525,3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Streptopelia roseogrisea,Columbiformes,Columbidae,Streptopelia,roseogrisea,Streptopelia roseogrisea,,,species,,,,,
527,22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto,Streptopelia decaocto,,,species,,,,,
528,3151,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,Streptopelia,chinensis,Streptopelia chinensis,Spilopelia chinensis,,species,,,,,
529,3210,Inca Dove,Colombe inca,Columbina inca,Columbiformes,Columbidae,Columbina,inca,Columbina inca,,,species,,,,,
530,3200,Common Ground-Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,Columbina,passerina,Columbina passerina,,,species,,,,,
532,3201,Ruddy Ground-Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,Columbina,talpacoti,Columbina talpacoti,,,species,,,,,
537,3180,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,Leptotila,verreauxi,Leptotila verreauxi,,,species,,,,,
543,3190,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,Columbiformes,Columbidae,Zenaida,asiatica,Zenaida asiatica,,,species,,,,,
545,3160,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,Zenaida,macroura,Zenaida macroura,,,species,,,,,
551,3870,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,Coccyzus,americanus,Coccyzus americanus,,,species,,,,,
552,3860,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,Cuculiformes,Cuculidae,Coccyzus,minor,Coccyzus minor,,,species,,,,,
553,3880,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,Coccyzus erythropthalmus,,,species,,,,,
554,3875,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,unid Coulicou à bec jaune / Coulicou à bec noir,Coccyzus americanus / erythropthalmus,Cuculiformes,Cuculidae,Coccyzus,americanus / erythropthalmus,,,,species,,,,,
559,3850,Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,Cuculiformes,Cuculidae,Geococcyx,californianus,Geococcyx californianus,,,species,,,,,
560,3830,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,Crotophaga,ani,Crotophaga ani,,,species,,,,,
561,3840,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,Crotophaga,sulcirostris,Crotophaga sulcirostris,,,species,,,,,
562,3650,Barn Owl,Effraie des clochers,Tyto alba,Strigiformes,Tytonidae,Tyto,alba,Tyto alba,,,species,,,,,
564,3740,Flammulated Owl,Petit-duc nain,Psiloscops flammeolus,Strigiformes,Strigidae,Psiloscops,flammeolus,Psiloscops flammeolus,Otus flammeolus,,species,,,,,
565,3732,Western Screech-Owl,Petit-duc des montagnes,Megascops kennicottii,Strigiformes,Strigidae,Megascops,kennicottii,Megascops kennicottii,,,species,,,,,
566,3730,Eastern Screech-Owl,Petit-duc maculé,Megascops asio,Strigiformes,Strigidae,Megascops,asio,Megascops asio,,,species,,,,,
569,3731,Whiskered Screech-Owl,Petit-duc à moustaches,Megascops trichopsis,Strigiformes,Strigidae,Megascops,trichopsis,Megascops trichopsis,,,species,,,,,
574,3750,Great Horned Owl,Grand-duc d'Amérique,Bubo virginianus,Strigiformes,Strigidae,Bubo,virginianus,Bubo virginianus,,,species,,,,,
575,3760,Snowy Owl,Harfang des neiges,Bubo scandiacus,Strigiformes,Strigidae,Bubo,scandiacus,Bubo scandiacus,Nyctea scandiaca,Bubo scandiaca,species,,,,,
576,3770,Northern Hawk Owl,Chouette épervière,Surnia ulula,Strigiformes,Strigidae,Surnia,ulula,Surnia ulula,,,species,,,,,
577,3790,Northern Pygmy-Owl,Chevêchette naine,Glaucidium gnoma,Strigiformes,Strigidae,Glaucidium,gnoma,Glaucidium gnoma,,,species,,,,,
581,3800,Ferruginous Pygmy-Owl,Chevêchette brune,Glaucidium brasilianum,Strigiformes,Strigidae,Glaucidium,brasilianum,Glaucidium brasilianum,,,species,,,,,
582,3810,Elf Owl,Chevêchette des saguaros,Micrathene whitneyi,Strigiformes,Strigidae,Micrathene,whitneyi,Micrathene whitneyi,,,species,,,,,
583,3780,Burrowing Owl,Chevêche des terriers,Athene cunicularia,Strigiformes,Strigidae,Athene,cunicularia,Athene cunicularia,,,species,,,,,
586,3690,Spotted Owl,Chouette tachetée,Strix occidentalis,Strigiformes,Strigidae,Strix,occidentalis,Strix occidentalis,,,species,,,,,
587,3680,Barred Owl,Chouette rayée,Strix varia,Strigiformes,Strigidae,Strix,varia,Strix varia,,,species,,,,,
589,3700,Great Gray Owl,Chouette lapone,Strix nebulosa,Strigiformes,Strigidae,Strix,nebulosa,Strix nebulosa,,,species,,,,,
590,3660,Long-eared Owl,Hibou moyen-duc,Asio otus,Strigiformes,Strigidae,Asio,otus,Asio otus,,,species,,,,,
592,3670,Short-eared Owl,Hibou des marais,Asio flammeus,Strigiformes,Strigidae,Asio,flammeus,Asio flammeus,,,species,,,,,
594,3710,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,Strigiformes,Strigidae,Aegolius,funereus,Aegolius funereus,,,species,,,,,
595,3720,Northern Saw-whet Owl,Petite Nyctale,Aegolius acadicus,Strigiformes,Strigidae,Aegolius,acadicus,Aegolius acadicus,,,species,,,,,
598,4210,Lesser Nighthawk,Engoulevent minime,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis,Chordeiles acutipennis,,,species,,,,,
599,4200,Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,,,species,,,,,
600,4201,Antillean Nighthawk,Engoulevent piramidig,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae,Chordeiles,gundlachii,Chordeiles gundlachii,,,species,,,,,
601,4205,unid. Lesser Nighthawk / Common Nighthawk,unid Engoulevent minime / Engoulevent d'Amérique,Chordeiles acutipennis / minor,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis / minor,,,,species,,,,,
602,4206,unid. Common Nighthawk / Antillean Nighthawk,unid Engoulevent d'Amérique / piramidig,Chordeiles minor / gundlachii,Caprimulgiformes,Caprimulgidae,Chordeiles,minor / gundlachii,,,,species,,,,,
603,4190,Common Pauraque,Engoulevent pauraqué,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae,Nyctidromus,albicollis,Nyctidromus albicollis,,,species,,,,,
604,4180,Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,Phalaenoptilus nuttallii,,,species,,,,,
607,4160,Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,Antrostomus carolinensis,Caprimulgus carolinensis,,species,,,,,
611,4171,Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus,Antrostomus vociferus,Caprimulgus vociferus,,species,,,,,
612,4172,Mexican Whip-poor-will,Engoulevent d'Arizona,Antrostomus arizonae,Caprimulgiformes,Caprimulgidae,Antrostomus,arizonae,Antrostomus arizonae,Caprimulgus arizonae,,species,,,,,
617,4220,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,Cypseloides,niger,Cypseloides niger,,,species,,,,,
622,4230,Chimney Swift,Martinet ramoneur,Chaetura pelagica,Apodiformes,Apodidae,Chaetura,pelagica,Chaetura pelagica,,,species,,,,,
623,4240,Vaux's Swift,Martinet de Vaux,Chaetura vauxi,Apodiformes,Apodidae,Chaetura,vauxi,Chaetura vauxi,,,species,,,,,
627,4250,White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,Apodiformes,Apodidae,Aeronautes,saxatalis,Aeronautes saxatalis,,,species,,,,,
640,4260,Magnificent Hummingbird,Colibri de Rivoli,Eugenes fulgens,Apodiformes,Trochilidae,Eugenes,fulgens,Eugenes fulgens,,,species,,,,,
