x
Egretta thula
Ardea herodias
Casmerodius albus
Bubulcus ibis
Eudocimus albus
Plegadis falcinellus
Plegadis chihi
Platalea ajaja
Pelecanus erythrorhynchos
Pelecanus occidentalis
Coragyps atratus
Cathartes aura
Gymnogyps californianus
Mycteria americana
Fregata magnificens
Gavia stellata
Gavia arctica
Gavia immer
Gavia adamsii
Fulmarus glacialis
Calonectris diomedea
Puffinus puffinus
Oceanodroma leucorhoa
Camptostoma imberbe
Contopus cooperi
Contopus pertinax
Contopus sordidulus
Contopus virens
Empidonax flaviventris
Empidonax virescens
Empidonax alnorum
Empidonax traillii
Empidonax minimus
Empidonax hammondii
Empidonax wrightii
Empidonax oberholseri
Empidonax difficilis
Empidonax occidentalis
Empidonax fulvifrons
Sayornis phoebe
Sayornis saya
Sayornis nigricans
Pyrocephalus rubinus
Myiarchus tuberculifer
Myiarchus cinerascens
Myiarchus crinitus
Myiarchus tyrannulus
Tyrannus melancholicus
Tyrannus couchii
Tyrannus vociferans
Tyrannus crassirostris
Tyrannus verticalis
Tyrannus forficatus
Tyrannus savana
Tyrannus tyrannus
Tyrannus dominicensis
Myiodynastes luteiventris
Pitangus sulphuratus
Lanius ludovicianus
Lanius excubitor
Vireo bellii
Vireo atricapilla
Vireo huttoni
Vireo griseus
Vireo vicinior
Vireo cassinii
Vireo plumbeus
Vireo solitarius
Vireo flavifrons
Vireo philadelphicus
Vireo olivaceus
Vireo altiloquus
Vireo gilvus
Gymnorhinus cyanocephalus
Cyanocitta cristata
Cyanocitta stelleri
Aphelocoma insularis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma ultramarina
Cyanocorax luxuosus
Cyanocorax yncas
Perisoreus canadensis
Pica pica
Pica nuttalli
Nucifraga columbiana
Corvus caurinus
Corvus brachyrhynchos
Corvus ossifragus
Corvus cryptoleucus
Corvus corax
Phainopepla nitens
Bombycilla garrulus
Bombycilla cedrorum
Cinclus mexicanus
Zoothera naevia
Sialia sialis
Sialia mexicana
Sialia currucoides
Myadestes townsendi
Catharus fuscescens
Catharus minimus
Catharus bicknelli
Catharus ustulatus
Catharus guttatus
Hylocichla mustelina
Turdus migratorius
Luscinia svecica
Oenanthe oenanthe
Sturnus vulgaris
Acridotheres tristis
Dumetella carolinensis
Mimus polyglottos
Mimus gundlachii
Oreoscoptes montanus
Toxostoma rufum
Toxostoma longirostre
Toxostoma bendirei
Toxostoma curvirostre
Toxostoma lecontei
Toxostoma redivivum
Toxostoma crissale
Sitta pygmaea
Sitta pusilla
Sitta canadensis
Sitta carolinensis
Certhia americana
Campylorhynchus brunneicapillus
Salpinctes obsoletus
Catherpes mexicanus
Cistothorus platensis
Cistothorus palustris
Thryomanes bewickii
Thryothorus ludovicianus
Thryothorus sinaloa
Troglodytes troglodytes
Troglodytes aedon
Auriparus flaviceps
Polioptila caerulea
Polioptila californica
Polioptila melanura
Parus carolinensis
Parus atricapillus
Parus gambeli
Parus sclateri
Parus hudsonicus
Parus rufescens
Baeolophus wollweberi
Baeolophus inornatus
Baeolophus ridgwayi
Baeolophus bicolor
Baeolophus atricristatus
Psaltriparus minimus
Tachycineta bicolor
Tachycineta thalassina
Progne subis
Stelgidopteryx serripennis
Riparia riparia
Hirundo rustica
Petrochelidon pyrrhonota
Petrochelidon fulva
Delichon urbicum
Regulus calendula
Regulus satrapa
Phylloscopus borealis
Chamaea fasciata
Alauda arvensis
Eremophila alpestris
Passer domesticus
Passer montanus
Motacilla alba
Anthus cervinus
Anthus rubescens
Anthus spragueii
Euplectes franciscanus
Peucedramus taeniatus
Carduelis pinus
Carduelis tristis
Carduelis psaltria
Carduelis lawrencei
Carduelis hornemanni
Carduelis flammea
Leucosticte tephrocotis
Leucosticte atrata
Leucosticte australis
Carpodacus purpureus
Carpodacus cassinii
Carpodacus mexicanus
Pinicola enucleator
Loxia curvirostra
Loxia leucoptera
Coccothraustes vespertinus
Calcarius mccownii
Calcarius lapponicus
Calcarius pictus
Calcarius ornatus
Plectrophenax nivalis
Calamospiza melanocorys
Passerella iliaca
Melospiza melodia
Melospiza lincolnii
Melospiza georgiana
Zonotrichia querula
Zonotrichia albicollis
Zonotrichia leucophrys
Zonotrichia atricapilla
Junco hyemalis
Junco phaeonotus
Passerculus sandwichensis
Ammodramus maritimus
Ammodramus nelsoni
Ammodramus caudacutus
Ammodramus leconteii
Ammodramus henslowii
Ammodramus bairdii
Ammodramus savannarum
Spizella arborea
Spizella passerina
Spizella pallida
Spizella breweri
Spizella pusilla
Spizella atrogularis
Pooecetes gramineus
Chondestes grammacus
Amphispiza bilineata
Amphispiza belli
Aimophila aestivalis
Aimophila botterii
Aimophila cassinii
Aimophila carpalis
Aimophila ruficeps
Pipilo chlorurus
Pipilo maculatus
Pipilo erythrophthalmus
Pipilo fuscus
Pipilo crissalis
Pipilo aberti
Arremonops rufivirgatus
Vermivora pinus
Vermivora chrysoptera
Vermivora peregrina
Vermivora celata
Vermivora ruficapilla
Vermivora virginiae
Vermivora luciae
Parula americana
Parula pitiayumi
Dendroica petechia
Dendroica pensylvanica
Dendroica magnolia
Dendroica tigrina
Dendroica caerulescens
Dendroica coronata
Dendroica nigrescens
Dendroica townsendi
Dendroica occidentalis
Dendroica virens
Dendroica chrysoparia
Dendroica fusca
Dendroica dominica
Dendroica graciae
Dendroica pinus
Dendroica kirtlandii
Dendroica discolor
Dendroica palmarum
Dendroica castanea
Dendroica striata
Dendroica cerulea
Mniotilta varia
Setophaga ruticilla
Protonotaria citrea
Helmitheros vermivorum
Limnothlypis swainsonii
Seiurus aurocapilla
Seiurus noveboracensis
Seiurus motacilla
Oporornis formosus
Oporornis agilis
Oporornis philadelphia
Oporornis tolmiei
Geothlypis trichas
Wilsonia citrina
Wilsonia pusilla
Wilsonia canadensis
Cardellina rubrifrons
Myioborus pictus
Icteria virens
Piranga flava
Piranga rubra
Piranga olivacea
Piranga ludoviciana
Spiza americana
Pheucticus ludovicianus
Pheucticus melanocephalus
Cardinalis cardinalis
Cardinalis sinuatus
Passerina caerulea
Passerina amoena
Passerina cyanea
Passerina versicolor
Passerina ciris
Icterus graduacauda
Icterus pectoralis
Icterus gularis
Icterus galbula
Icterus bullockii
Icterus cucullatus
Icterus spurius
Icterus parisorum
Xanthocephalus xanthocephalus
Agelaius phoeniceus
Agelaius tricolor
Sturnella magna
Sturnella neglecta
Quiscalus mexicanus
Quiscalus major
Quiscalus quiscula
Euphagus carolinus
Euphagus cyanocephalus
Molothrus bonariensis
Molothrus aeneus
Molothrus ater
Dolichonyx oryzivorus
Larus thayeri
Pica hudsonia
Piranga hepatica
Dendragapus fuliginosus
Centrocercus minimus
Branta hutchinsii
Anas fulvigula
Picoides arizonae
Himantopus mexicanus
Caracara cheriway
Butorides virescens
Gavia pacifica
Geranoaetus melanoleucus
Buteo nitidus
Gallinago andina
Streptopelia orientalis
