x
Calidris himantopus
Calidris canutus
Calidris canutus rufa
Calidris maritima
Calidris ptilocnemis
Calidris acuminata
Calidris melanotos
Calidris fuscicollis
Calidris bairdii
Calidris minutilla
Calidris ruficollis
Calidris subminuta
Calidris alpina
Calidris ferruginea
Calidris pygmea
Calidris pusilla
Calidris mauri
Calidris alba
Limosa fedoa
Limosa lapponica
Limosa haemastica
Limosa limosa
Tringa nebularia
Tringa melanoleuca
Tringa flavipes
Tringa solitaria
Tringa glareola
Tringa stagnatilis
Tringa brevipes
Calidris pugnax
Bartramia longicauda
Actitis macularius
Actitis hypoleucos
Numenius americanus
Numenius phaeopus
Numenius tahitiensis
Vanellus vanellus
Charadrius morinellus
Pluvialis squatarola
Pluvialis apricaria
Pluvialis dominica
Pluvialis fulva
Charadrius vociferus
Charadrius semipalmatus
Charadrius hiaticula
Charadrius melodus
Charadrius nivosus nivosus
Charadrius mongolus
Charadrius wilsonia
Charadrius montanus
Arenaria interpres
Arenaria melanocephala
Haematopus palliatus
Haematopus bachmani
Jacana spinosa
Patagioenas fasciata
Patagioenas inornata
Patagioenas inornata wetmorei
Patagioenas flavirostris
Patagioenas leucocephala
Patagioenas squamosa
Streptopelia roseogrisea
Geopelia striata
Gallicolumba xanthonura
Ptilinopus roseicapilla
Streptopelia bitorquata
Streptopelia decaocto
Zenaida macroura
Zenaida auriculata
Zenaida aurita
Leptotila verreauxi
Leptotila jamaicensis
Zenaida asiatica
Columbina passerina
Columbina talpacoti
Columbina inca
Geotrygon chrysia
Geotrygon montana
Geotrygon mystacea
Gymnogyps californianus
Cathartes aura
Coragyps atratus
Elanoides forficatus
Chondrohierax uncinatus
Elanus leucurus
Ictinia mississippiensis
Rostrhamus sociabilis
Circus cyaneus
Accipiter striatus
Accipiter striatus venator
Accipiter cooperii
Accipiter gentilis
Parabuteo unicinctus
Buteo jamaicensis
Buteo lineatus
Buteo albonotatus
Buteo swainsoni
Buteo platypterus
Rupornis magnirostris
Buteo platypterus brunnescens
Buteo brachyurus
Buteo solitarius
Buteogallus anthracinus
Buteo lagopus
Buteo regalis
Aquila chrysaetos
Haliaeetus leucocephalus
Falco rusticolus
Falco mexicanus
Falco peregrinus
Falco columbarius
Falco femoralis
Falco tinnunculus
Falco sparverius
Caracara cheriway
Caracara cheriway audubonii
Pandion haliaetus
Tyto alba
Tyto glaucops
Asio otus
Asio flammeus
Strix varia
Strix occidentalis
Strix occidentalis occidentalis
Strix occidentalis caurina
Strix occidentalis lucida
Strix nebulosa
Aegolius funereus
Aegolius acadicus
Megascops asio
Megascops trichopsis
Megascops kennicottii
Megascops nudipes
Bubo virginianus
Surnia ulula
Athene cunicularia
Glaucidium gnoma
Glaucidium brasilianum
Micrathene whitneyi
Nandayus nenday
Psittacara chloropterus
Eupsittula canicularis
Eupsittula pertinax
Vini australis
Rhynchopsitta pachyrhyncha
Myiopsitta monachus
Aratinga erythrogenys
Amazona viridigenalis
Amazona ventralis
Amazona vittata
Amazona amazonica
Crotophaga ani
Crotophaga sulcirostris
Geococcyx californianus
Coccyzus vieilloti
Coccyzus minor
Coccyzus americanus
Coccyzus americanus
Coccyzus erythropthalmus
Trogon elegans
Euptilotis neoxenus
Megaceryle alcyon
Megaceryle torquata
Chloroceryle americana
Todus mexicanus
Campephilus principalis
Picoides villosus
Picoides pubescens
Picoides borealis
Picoides scalaris
Picoides nuttallii
Picoides arizonae
Picoides albolarvatus
Picoides arcticus
Picoides dorsalis
Sphyrapicus varius
Sphyrapicus nuchalis
Sphyrapicus ruber
Sphyrapicus thyroideus
Dryocopus pileatus
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes portoricensis
Melanerpes lewis
Melanerpes carolinus
Melanerpes superciliaris
Melanerpes aurifrons
Melanerpes uropygialis
Colaptes auratus
Colaptes chrysoides
Antrostomus ridgwayi
Antrostomus noctitherus
Phalaenoptilus nuttallii
Nyctidromus albicollis
Chordeiles minor
Chordeiles gundlachii
Chordeiles acutipennis
Cypseloides niger
Chaetura pelagica
Chaetura brachyura
Chaetura vauxi
Aeronautes saxatalis
Eugenes fulgens
Heliomaster constantii
Lampornis clemenciae
Colibri thalassinus
Archilochus colubris
Archilochus alexandri
Calypte costae
Calypte anna
Selasphorus platycercus
Selasphorus rufus
Selasphorus sasin
Atthis heloisa
Anthracothorax mango
Anthracothorax viridis
Eulampis holosericeus
Orthorhyncus cristatus
Anthracothorax prevostii
Calothorax lucifer
Calliphlox evelynae
Amazilia tzacatl
Amazilia beryllina
Amazilia yucatanensis
Amazilia violiceps
Hylocharis leucotis
Chlorostilbon maugaeus
Cynanthus latirostris
Pachyramphus aglaiae
Tyrannus savana
Tyrannus forficatus
Tyrannus tyrannus
Tyrannus dominicensis
Tyrannus crassirostris
Tyrannus caudifasciatus
Tyrannus melancholicus
Tyrannus couchii
Tyrannus verticalis
Tyrannus vociferans
Pitangus sulphuratus
Myiodynastes luteiventris
Myiarchus crinitus
Myiarchus tyrannulus
Myiarchus nuttingi
Myiarchus cinerascens
Myiarchus tuberculifer
Myiarchus sagrae
Myiarchus antillarum
Myiarchus stolidus
Myiarchus oberi
Sayornis phoebe
Sayornis saya
Sayornis nigricans
Contopus cooperi
Contopus pertinax
Contopus virens
Contopus sordidulus
Contopus caribaeus
Contopus latirostris
Contopus pallidus
Contopus hispaniolensis
Empidonax flaviventris
Empidonax occidentalis
Empidonax difficilis
Empidonax virescens
Empidonax traillii
Empidonax alnorum
Empidonax traillii extimus
Empidonax minimus
Empidonax hammondii
Empidonax oberholseri
Empidonax wrightii
Empidonax fulvifrons
Pyrocephalus rubinus
Myiopagis viridicata
Camptostoma imberbe
Elaenia martinica
Alauda arvensis
Eremophila alpestris
Eremophila alpestris strigata
Pica hudsonia
Pica nuttalli
Cyanocitta cristata
Cyanocitta stelleri
Aphelocoma coerulescens
Aphelocoma californica
Aphelocoma insularis
Cyanocorax yncas
Psilorhinus morio
Perisoreus canadensis
Corvus corax
Corvus cryptoleucus
Corvus leucognaphalus
Corvus brachyrhynchos
Corvus caurinus
Corvus imparatus
Corvus hawaiiensis
Corvus ossifragus
Nucifraga columbiana
