"HUC8","AreaSqKm"
1010002,3198.08372418
1010003,2304.01499124
1010004,6323.27135918
1010005,1329.60799358
1010006,3134.05430526
1010007,3845.86055752
1010008,6033.32598076
1010009,3462.32344788
1010010,2526.27663616
1010011,3639.79039946
1020001,5520.82353664
1020002,2899.60351802
1020003,3907.8098904
1020004,3784.8662836
1020005,6200.78504756
1030001,4109.71582952
1030002,2271.300175
1030003,8885.45578412
1040001,3549.79632678
1040002,5584.82058068
1050001,4271.79661938
1050002,11271.41969036
1050003,3494.24912642
1050004,9666.74257572
1060001,3471.11727466
1060002,4405.65865446
1060003,4197.25750504
1070001,2649.26880528
1070002,1258.82031846
1070003,1980.90154826
1070004,1383.82782386
1070005,1036.67603248
1070006,4664.95311524
1080101,3701.10437532
1080102,1315.77177924
1080103,2392.5441006
1080104,1339.3487856
1080105,1843.7291817
1080106,3423.35218608
1080107,2201.26116898
1080201,2638.29776782
1080202,1008.06877914
1080203,1720.7653406
1080204,1871.82248382
1080205,2809.22499364
1080206,1343.53323884
1080207,1571.42001916
1090001,13803.23146404
1090002,1479.734359
1090003,1228.65097716
1090004,3571.40655918
1090005,947.2282859
1100001,1913.1732993
1100002,1362.9622137
1100003,851.15178264
1100004,1222.34192242
1100005,5049.49384616
1100006,887.41164824
2020001,4309.33124588
2020002,2730.65115988
2020003,4938.50871066
2020004,6603.09554074
2020005,2401.4674269
2020006,6287.82086558
2020007,3077.56013966
2020008,2448.04273864
2030101,1941.06021156
2030102,487.6061614
2030103,2936.67275562
2030104,1438.3147469
2030105,2862.94301328
2030201,718.66972682
2030202,5294.90757714
2030203,3082.19379436
2040101,3081.8457644
2040102,2174.91611038
2040103,1548.64429108
2040104,3961.7545342
2040105,3520.67512222
2040106,3526.65233444
2040201,1408.25062396
2040202,2981.4026992
2040203,4952.1830506
2040204,1073.51864592
2040205,1949.65169534
2040206,3093.65450188
2040207,1966.67683536
2040301,4460.55835722
2040302,2234.6356234
2040303,2309.32774992
2040304,1927.42652467
2050101,5923.07737378
2050102,4159.8685655
2050103,2704.23730466
2050104,3585.59485034
2050105,3138.21043048
2050106,5191.2715394
2050107,4572.6482855
2050201,4135.91520116
2050202,2677.90033978
2050203,2031.17164318
2050204,2002.65342076
2050205,2539.94288238
2050206,4686.85876842
2050301,3750.58128568
2050302,2566.31222214
2050303,2492.04424742
2050304,3756.62729452
2050305,4860.4205001
2050306,6437.40495176
2060001,1962.6866314
2060002,3372.41435926
2060003,3671.15761132
2060004,954.90922618
2060005,2844.38006646
2060006,2401.04655346
2070001,3558.55807427
2070002,3480.18628792
2070003,3062.03009362
2070004,5559.40178534
2070005,4330.15850315
2070006,2634.57012694
2070007,811.02572047
2070008,3069.85911166
2070009,2511.08472372
2070010,3300.4440773
2070011,4484.36338936
2080101,2771.55128671
2080102,1738.77946303
2080103,4032.00076156
2080104,2993.84984643
2080105,2359.3459106
2080106,3812.10564874
2080107,755.93815079
2080108,594.88032224
2080109,2142.39149656
2080110,2358.59612863
2080111,2397.29648088
2080201,5721.18352032
2080202,2170.7689603
2080203,5240.15872548
2080204,1989.37077287
2080205,2447.2461822
2080206,3733.07708188
2080207,4170.58563269
2080208,1308.38986338
3010101,5674.52516847
3010102,4297.21447832
3010103,4874.63781444
3010104,2969.55769455
3010105,1545.59470206
3010106,1444.80177233
3010107,3392.02544282
3010201,4460.19028893
3010202,1916.95355371
3010203,2149.59583682
3010204,3932.16385394
3010205,11032.0295446
3020101,3379.42352078
3020102,2315.52426108
3020103,2486.9775787
3020104,3384.19476872
3020105,5056.51514826
3020201,6231.8811198
3020202,2759.38386588
3020203,2612.11863048
3020204,4100.28259886
3020301,2415.50193738
3020302,2308.88336382
3030002,4422.5300138
3030003,3755.71675102
3030004,4221.51033702
3030005,2904.63781186
3030006,4076.41826544
3030007,4509.88958062
3040101,6065.36644229
3040102,2347.8262976
3040103,3081.59890594
3040104,2250.7623605
3040105,3670.7853002
3040201,6557.52385028
3040202,3659.9599497
3040203,4539.65828278
3040204,3542.3379638
3040205,5337.33890424
3040206,4277.04944366
3040207,1475.40826566
3040208,1764.92467692
3050101,6105.58266606
3050102,1711.68418676
3050103,3456.00629942
3050104,3255.12826274
3050105,6419.2709721
3050106,3337.93511206
3050107,2093.75633308
3050108,1895.23761578
3050109,6538.58859234
3050110,1786.081661
3050111,1421.06702958
3050112,1972.2169867
3050201,3274.44392552
3050202,1008.82554196
3050203,1968.52220352
3050204,2246.58195412
3050205,1693.7727844
3050206,2435.14944268
3050207,4894.77024778
3050208,2588.83299804
3050209,1212.09122604
3050210,479.41531676
3060101,2662.55869352
3060102,2563.57654478
3060103,4762.2234422
3060104,3894.74662632
3060105,1988.88600304
3060106,4747.60618388
3060107,1916.84784818
3060108,2197.10909062
3060109,2602.5559003
3060110,1163.1687355
3060201,4753.38914682
3060202,3069.94394914
3060203,3592.20741958
3060204,3956.98733312
3070101,7553.91339146
3070102,6244.26855826
3070103,7708.77458308
3070104,6024.30552982
3070105,2082.68412412
3070106,4305.26415158
3070107,3482.80055948
3070201,6699.30154352
3070202,2060.52351876
3070203,2468.5036628
3070204,4097.78163938
3070205,1109.48309074
3080101,10208.9732534
3080102,7189.41271126
3080103,7206.12624306
3080201,1769.55428476
3080202,1836.80095738
3080203,1260.02628274
3090101,7672.7049199
3090102,792.2133136
3090103,2082.86623282
3090201,2241.39792646
3090202,11449.41273374
3090203,2729.17405598
3090204,7375.65325532
3090205,3632.65578528
3090206,8096.4718648
3100101,6063.17157326
3100102,1557.2519623
3100103,1570.06432106
3100201,1035.16250684
3100202,943.64276794
3100203,586.55998212
3100204,1091.2560333
3100205,1698.6290164
3100206,2263.80943714
3100207,3039.80698272
3100208,5392.69185532
3110101,2333.96175524
3110102,4814.20940576
3110103,2469.93220438
3110201,6849.73951716
3110202,4665.87984618
3110203,3907.59135996
3110204,2310.68016966
3110205,4092.2455349
3110206,3579.96566808
3120001,3062.6434137
3120002,2403.92791778
3120003,4039.87107278
3130001,4111.1443711
3130002,7892.11352852
3130003,7357.84707132
3130004,3228.46754906
3130005,6822.4596339
3130006,4040.48214864
3130007,2856.56111506
3130008,3306.25629198
3130009,2865.2982858
3130010,2047.82042522
3130011,2902.00735286
3130012,3355.06142358
3130013,1333.39585454
3130014,695.3517195
3140101,3423.46954502
3140102,1791.79582732
3140103,3559.6989932
3140104,2239.18429404
3140105,1424.20334608
3140106,2383.66528976
3140107,758.15493984
3140201,3997.23335582
3140202,4027.7385865
3140203,4037.46319108
3140301,2129.17849866
3140302,1554.43130088
3140303,2717.7497702
3140304,2626.38785884
3140305,1966.84275662
3150101,1887.41098854
3150102,2235.93466546
3150103,1456.464914
3150104,4830.70845398
3150105,4150.61744354
3150106,6691.53157232
3150107,5082.41505226
3150108,3617.54076318
3150109,4117.48580072
3150110,4411.27569614
3150201,6193.03935752
3150202,4723.7580379
3150203,5774.63450212
3150204,3757.4892757
3160101,4654.46365412
3160102,1769.29123886
3160103,2239.47566796
3160104,2894.111929
3160105,2069.58848516
3160106,4224.08413998
3160107,2039.85620474
3160108,3673.97017902
3160109,3554.00101432
3160110,2581.3705882
3160111,3134.74631832
3160112,3226.39555674
3160113,3763.36936328
3160201,5389.0820562
3160202,2522.7720554
3160203,4185.5661265
3160204,2363.15580328
3160205,2204.7495623
3170001,2351.43204986
3170002,3745.32036768
3170003,1720.93935558
3170004,4540.40695188
3170005,4726.7729486
3170006,1580.55378218
3170007,3282.19770928
3170008,2704.69055298
3170009,6340.99255912
3180001,6378.69310688
3180002,5119.97800678
3180003,3156.17848888
3180004,4717.65132616
3180005,3130.36356894
4010101,5800.73927233
4010102,1585.75761706
4010201,7617.4086916
4010202,2055.41487746
4010301,4994.67682608
4010302,3369.85476867
4020101,2564.33243032
4020102,3595.68104423
4020103,2801.54816859
4020104,1891.28417879
4020105,2313.45841018
4020201,2981.52970255
4020202,2097.14572039
4020203,277.41197603
4020300,84708.39721566
4030101,4214.68733106
4030102,1809.71937026
